class,selector,types,armv7_imp
ChooseAvatarViewController,setReceivedData:,types 0x3c6521 v12@0:4@8,0x34aec9
ChooseAvatarViewController,receivedData,types 0x3c64c5 @8@0:4,0x34a499
ChooseAvatarViewController,setMyImage:,types 0x3c6521 v12@0:4@8,0x34aef1
ChooseAvatarViewController,myImage,types 0x3c64c5 @8@0:4,0x34a489
ChooseAvatarViewController,dealloc,types 0x3c6510 v8@0:4,0x34af19
ChooseAvatarViewController,viewDidUnload,types 0x3c6510 v8@0:4,0x34a485
ChooseAvatarViewController,didReceiveMemoryWarning,types 0x3c6510 v8@0:4,0x34afad
ChooseAvatarViewController,viewDidLoad,types 0x3c6510 v8@0:4,0x34afd9
ChooseAvatarViewController,loadView,types 0x3c6510 v8@0:4,0x34aa49
ChooseAvatarViewController,connectionDidFinishLoading:,types 0x3c6521 v12@0:4@8,0x34a959
ChooseAvatarViewController,connection:didReceiveData:,types 0x3c64d3 v16@0:4@8@12,0x34a92d
ChooseAvatarViewController,imagePickerControllerDidCancel:,types 0x3c6521 v12@0:4@8,0x34a7a9
ChooseAvatarViewController,imagePickerController:didFinishPickingImage:editingInfo:,types 0x3c6b32 v20@0:4@8@12@16,0x34aafd
ChooseAvatarViewController,startPhotoLibraryPiker:doPhoto:,types 0x3c6b42 c16@0:4@8c12,0x34a4e9
ChooseAvatarViewController,UIImageToPNGBuffer:,types 0x3c6521 v12@0:4@8,0x34acc9
ChooseAvatarViewController,UIImageToPNGBuffer:ppBuf:lenght:,types 0x3c6b00 v20@0:4@8^*12^i16,0x34ad5d
ChooseAvatarViewController,ResizeImage:iWidth:iHeight:,types 0x3c6b12 @20@0:4@8i12i16,0x34adb1
FaceBookFriendsTableViewController,setListOfItems:,types 0x3c6521 v12@0:4@8,0x34c3bd
FaceBookFriendsTableViewController,listOfItems,types 0x3c64c5 @8@0:4,0x34b0c5
FaceBookFriendsTableViewController,setMySearchBar:,types 0x3c6521 v12@0:4@8,0x34c3e5
FaceBookFriendsTableViewController,mySearchBar,types 0x3c64c5 @8@0:4,0x34b0b5
FaceBookFriendsTableViewController,setMyTableView:,types 0x3c6521 v12@0:4@8,0x34c40d
FaceBookFriendsTableViewController,myTableView,types 0x3c64c5 @8@0:4,0x34b0a5
FaceBookFriendsTableViewController,setTableData:,types 0x3c6521 v12@0:4@8,0x34c435
FaceBookFriendsTableViewController,tableData,types 0x3c64c5 @8@0:4,0x34b095
FaceBookFriendsTableViewController,setSelectedItems:,types 0x3c6521 v12@0:4@8,0x34c45d
